ID,channel,offset,exponent,knee,error_mae,gof_rsquared,dataset
149,GD008Ln_5,6.072069419170515,3.7846093602771886,31043.65425433456,0.07756023658927078,0.9898383774260817,iEEG atlas
150,GD008Lp_1,5.7591245714727695,3.622168846556361,113239.9190633875,0.07723996079700382,0.9845760693745774,iEEG atlas
151,GD008Lp_5,5.166151719322008,3.5004746776032385,6764.8287466994825,0.09406243614834325,0.9826725013781007,iEEG atlas
152,GD008Lx_6,4.248736223652322,2.8533620331351504,890.0627413012379,0.06488631303208568,0.9894370045111204,iEEG atlas
153,GD008Lx_7,4.079244017367721,2.7177600417795844,592.9401694651815,0.0886329375474758,0.9761161063164624,iEEG atlas
154,GD009Rn01,6.534399309657946,4.041011486343087,800981.7891302948,0.07361594481495283,0.9869870931746835,iEEG atlas
155,GD009Rn02,5.670521188396081,3.765858499810939,278334.5961496496,0.06957769675090003,0.9874794433096704,iEEG atlas
156,GD009Rn03,2.5833460446700354,2.1674773306721193,111.26070940764569,0.09787150480139109,0.9753079873808067,iEEG atlas
157,GD009Rn04,3.6844602232830996,2.5140956114184063,979.7272494173566,0.044680196854632974,0.9920061353124805,iEEG atlas
158,GD009Rn05,3.3662430946236745,2.0432524992386902,58.17704979635719,0.0870276990168074,0.9696741579589283,iEEG atlas
159,GD009Rn06,3.482294073683864,1.9868529625588753,30.625092119529537,0.09633683261512103,0.9668997712260203,iEEG atlas
160,GD009Rn07,3.8068116081319228,2.1299925342647374,50.59156393132469,0.08863134318836359,0.9743944832110605,iEEG atlas
161,GD009Rn08,5.056451181203059,3.058833227616775,14126.939707501131,0.08205557216971471,0.9768098268534028,iEEG atlas
162,GD009Rn09,3.498728578394799,2.2355524920496768,129.60393505872094,0.07345420366705563,0.9825124017147296,iEEG atlas
163,GD009Rn10,3.7823896706108453,2.527144368497051,529.3012550629602,0.07352418882470063,0.9810838481511135,iEEG atlas
164,GD009Rn11,5.113865445037059,3.3133350417875906,12577.965206671486,0.05476104436532311,0.991974704787545,iEEG atlas
165,GD009Rj01,7.85979322427675,4.63687869601825,21081830.05713316,0.0689569620500019,0.9832653987554635,iEEG atlas
166,GD009Rj02,6.549169290107015,4.196096505528797,2133878.982966914,0.0773283839152594,0.9832824021953694,iEEG atlas
167,GD009Rj03,5.609349844169584,3.6446125891958165,246298.82596998455,0.06848452459758163,0.9831827649213851,iEEG atlas
168,GD009Rj08,7.720433453501818,4.617602463570648,7511091.270842269,0.05148442690313498,0.9929062316176381,iEEG atlas
169,GD009Rj09,8.312365901107329,4.779121231697088,6352127.344065913,0.0686302230771949,0.991425163204747,iEEG atlas
170,GD009Rj10,9.019934302371746,4.802279607087265,41398231.475406386,0.06966927442292277,0.9842387144402964,iEEG atlas
171,GD009Rj11,4.811381585431155,2.6947467271206436,1566.245275557493,0.07094754833398793,0.9831895136999117,iEEG atlas
172,GD009Rj12,5.199426687838326,2.8612829838975467,2636.4746317795416,0.06919565096349714,0.9848110437051386,iEEG atlas
173,GD009Re10,4.109134567422217,2.6443312384051727,310.55292845233225,0.10303300058247745,0.9718286260708301,iEEG atlas
174,GD009Re11,2.1816221606259427,1.9475042622993197,43.59831724597653,0.06513501263361626,0.9800744394039675,iEEG atlas
175,GD009Rb01,7.615394410492453,4.491229283937375,9709642.174893847,0.05914109757969586,0.9869935798629224,iEEG atlas
176,GD009Rb02,5.077839753314931,3.5802909672332497,89716.08113173977,0.06666151058960314,0.9876810673901099,iEEG atlas
177,GD009Rb05,2.2327593442556486,1.9707475054872983,38.26409439462957,0.08743274541397725,0.9702322395049379,iEEG atlas
178,GD009Rb06,4.158986858026549,2.350554470484092,818.9188366412722,0.06556901087425568,0.9824137261741626,iEEG atlas
179,GD009Rb07,3.3904495265570636,1.8345902280073485,13.38824296881273,0.06914981074475163,0.9819929310122633,iEEG atlas
180,GD009Rb08,2.915457338702699,1.672349962485503,7.499002113903094,0.07457086189444972,0.9752276451103371,iEEG atlas
181,GD009Rb09,2.8561974231018024,1.7127865257178645,13.277968748270247,0.0818799702366366,0.9674834353981964,iEEG atlas
182,GD009Rb10,3.9805090927454874,2.348263910698488,1108.2869504170326,0.06393329462571026,0.980577727258721,iEEG atlas
183,GD009Rb11,5.719801004122356,3.3683394849279895,101131.74519872919,0.07483750838265867,0.9763888572981764,iEEG atlas
184,GD009Rb12,4.001864010545741,2.6281960890202747,1346.0487598982784,0.10943216294410472,0.9515078057876996,iEEG atlas
