ID,channel,offset,exponent,error_mae,gof_rsquared,dataset
58,dataset01_30R,-2.992798113677307,0.6384346345930735,0.12901690239793373,0.8341901221139216,source HD-EEG
59,dataset01_30L,-3.2973367021412208,0.3397560903451485,0.08703720376475534,0.5649264318597924,source HD-EEG
60,dataset01_31R,-3.0511856286831653,0.5926457088311357,0.13439511807626195,0.7949729093551655,source HD-EEG
61,dataset01_31L,-3.033175014574414,0.5010999062214376,0.10046170442366763,0.6745579773420213,source HD-EEG
62,dataset01_32R,-3.457516728103229,0.7519585210435172,0.11294863683610516,0.8945181158429792,source HD-EEG
63,dataset01_32L,-3.4223620498167744,0.7453019114927776,0.10645500914521697,0.8180686540111831,source HD-EEG
64,dataset01_33R,-2.146295470932293,1.084923111776404,0.057773424220560914,0.9713803363090575,source HD-EEG
65,dataset01_33L,-2.8429203279476627,0.7723516989994546,0.07647208314680486,0.9182144772615278,source HD-EEG
66,dataset01_34R,-2.9639130404997367,1.1218162586459468,0.10148270969104649,0.9557512819326304,source HD-EEG
67,dataset01_34L,-2.771322206429299,0.8780981636019723,0.08368061871332778,0.9383814099517533,source HD-EEG
68,dataset01_35R,-3.179432062615554,0.779803277914438,0.10449995699622874,0.918573256416378,source HD-EEG
69,dataset01_35L,-3.5820267336901055,0.3777431164027365,0.08361815694669267,0.8168656579951518,source HD-EEG
70,dataset01_36R,-3.1640552855405777,1.078751071982198,0.07836112538941034,0.9670142286060788,source HD-EEG
71,dataset01_36L,-2.2367080283620977,1.1359420354306151,0.0784427764408038,0.9614201028330878,source HD-EEG
72,dataset01_37R,-2.096938110661742,1.2411640429835034,0.06442022321916926,0.9792046686224348,source HD-EEG
73,dataset01_37L,-2.1404195914845108,1.2169748179571902,0.0573652002465927,0.9778699417738828,source HD-EEG
74,dataset01_38R,-1.5384634070269403,1.187704859338504,0.04669002942818795,0.9843923263552596,source HD-EEG
75,dataset01_38L,-1.6134248323104252,1.1946584510745932,0.06010664330711396,0.972647560604283,source HD-EEG
76,dataset10_01R,-2.628251455232219,1.2807344985328077,0.11856149690621112,0.9372316224994877,source HD-EEG
77,dataset10_01L,-2.3408749866990446,1.2105242420449724,0.12697304396606154,0.9349903690332922,source HD-EEG
78,dataset10_02R,-2.9203416832687443,1.1945084694660761,0.08406699289880576,0.9516504529020401,source HD-EEG
79,dataset10_02L,-2.128071999200386,1.4068599621025646,0.10372526788726662,0.9518463506868756,source HD-EEG
80,dataset10_03R,-3.2506228122289937,1.0887016206904032,0.1462161537765464,0.9047624228035911,source HD-EEG
81,dataset10_03L,-1.9889551546421291,1.485226942313645,0.20496043254111496,0.8963539725403782,source HD-EEG
82,dataset10_04R,-2.936800014418717,1.184292598757974,0.026745869332602513,0.9966629095579749,source HD-EEG
83,dataset10_04L,-2.313920254180182,1.4851289188112304,0.19399618186495096,0.9071973567336132,source HD-EEG
84,dataset10_05R,-2.3234485884554688,1.5983927761595642,0.15522382617120536,0.9327217144075453,source HD-EEG
85,dataset10_05L,-1.9729980539112137,1.619005915136307,0.18713007292850234,0.916997725802683,source HD-EEG
86,dataset10_06R,-2.3807120500324173,1.2235940362384488,0.072985362609391,0.9549363665196838,source HD-EEG
87,dataset10_06L,-2.5402700755971717,1.2340153032446317,0.07089647232678827,0.9808467085350187,source HD-EEG
88,dataset10_07R,-2.468056980007699,1.4630138065902236,0.18755453832240104,0.8814422006000787,source HD-EEG
89,dataset10_07L,-1.245626711076049,1.7416578874372872,0.24591560425265716,0.8200946267711402,source HD-EEG
90,dataset10_08R,-2.4882837218407374,1.3599820317840412,0.13197846837895846,0.916057216519101,source HD-EEG
91,dataset10_08L,-2.478827456202921,1.4290618588499557,0.21991790627408173,0.8372920708362086,source HD-EEG
92,dataset10_09R,-2.5326904329129625,1.300531260409814,0.12350119734302684,0.9161420700749291,source HD-EEG
93,dataset10_09L,-3.3740918921445178,0.942483745180455,0.0678007143839253,0.9400424064458485,source HD-EEG
94,dataset10_10R,-2.9374543973695806,1.310638514647749,0.03561257597936981,0.9949637246247344,source HD-EEG
95,dataset10_10L,-2.1127749317714057,1.4816923646552462,0.17237321999980657,0.8824091334844215,source HD-EEG
96,dataset10_11R,-1.5797989656713258,1.592813765853697,0.19775647851008785,0.8960149990421594,source HD-EEG
97,dataset10_11L,-1.2686638318530448,1.9192268163424606,0.2665728006158946,0.8208981915780573,source HD-EEG
98,dataset10_12R,-2.033980137636947,1.6824346005817714,0.2221303268913492,0.886734925115551,source HD-EEG
99,dataset10_12L,-1.436229972715849,1.9143974905723058,0.2754085970987423,0.8101451660192676,source HD-EEG
100,dataset10_13R,-2.2495842424269186,1.197880468050284,0.10132347997657433,0.9375045984880548,source HD-EEG
101,dataset10_13L,-2.385377450146943,1.2738901772337978,0.11995166461958327,0.9162564717987232,source HD-EEG
102,dataset10_14R,-3.0230377999605333,1.2567124290048,0.1449423206896339,0.8707562237836541,source HD-EEG
103,dataset10_14L,-1.7945538674498454,1.6299296119775872,0.15897295856371696,0.8979824800850287,source HD-EEG
104,dataset10_15R,-1.6574768351450695,1.2400925080777292,0.10590913160826934,0.9279961113468577,source HD-EEG
105,dataset10_15L,-1.995393827291327,1.2616095572255244,0.09623735435571647,0.9489585901290822,source HD-EEG
106,dataset10_16R,-2.0902351053416015,1.2836430738533686,0.1006028526842831,0.924557726298839,source HD-EEG
107,dataset10_16L,-2.391843368592058,1.1568494760666157,0.09026378068103505,0.9210134425093965,source HD-EEG
108,dataset10_17R,-1.176534546789529,1.6494503709522923,0.19457690934894636,0.8667171905638574,source HD-EEG
109,dataset10_17L,-1.7897062277019353,1.634816533694948,0.20961458652115342,0.846001587849804,source HD-EEG
110,dataset10_18R,-1.906617358945998,1.5759245102848825,0.19436131706594464,0.8546377813745698,source HD-EEG
111,dataset10_18L,-1.4938606290310217,1.5943998534345942,0.2085867278837254,0.8392687740672358,source HD-EEG
112,dataset10_19R,-1.640049144506195,1.1463030358690616,0.1000695358786732,0.9264591967877123,source HD-EEG
113,dataset10_19L,-1.689334096989349,1.092953985298448,0.09529733787651622,0.9244551016803764,source HD-EEG
114,dataset10_20R,-3.833072273452707,0.9623872455026227,0.07310928271211561,0.9297685558986445,source HD-EEG
115,dataset10_20L,-2.7062194909000508,1.3455907282300563,0.12300883741531295,0.9065453075001079,source HD-EEG
116,dataset10_21R,-3.094021143080763,1.0270834424219502,0.060949981542930964,0.9573942427050472,source HD-EEG
117,dataset10_21L,-2.089160086598657,1.0610419284628012,0.09154080123537105,0.9260668143631487,source HD-EEG
118,dataset10_22R,-3.1456104457846297,0.7944214944029582,0.060525023456846454,0.9218555028391224,source HD-EEG
119,dataset10_22L,-2.7140595721218315,0.9841624450794649,0.08048138457440702,0.9275455742054204,source HD-EEG
120,dataset10_23R,-3.1182885008042582,0.7255910971129471,0.08940575775693271,0.8315158604102107,source HD-EEG
121,dataset10_23L,-2.716248571224628,1.015261261498803,0.08019886276964926,0.9219727426583256,source HD-EEG
122,dataset10_24R,-2.6362822452735983,1.0158633230743,0.0951705949484074,0.911850646299724,source HD-EEG
123,dataset10_24L,-2.396229316864318,1.0856230186942109,0.10579572080421612,0.9022083029694858,source HD-EEG
124,dataset10_25R,-2.9455024546045463,0.9519006606169707,0.0905319808006854,0.8879341900906664,source HD-EEG
125,dataset10_25L,-2.539210229683184,0.9564587096490688,0.09249516036630849,0.9027506684875735,source HD-EEG
126,dataset10_26R,-2.140975281176814,1.2281251659378802,0.04329633154108506,0.9854267467312063,source HD-EEG
127,dataset10_26L,-1.9672709642644095,1.482420909315939,0.1887489361270603,0.8472028055349579,source HD-EEG
128,dataset10_27R,-2.0160586253631747,1.2269793390520845,0.12281624039517293,0.8919691579879583,source HD-EEG
129,dataset10_27L,-2.3234138249375738,0.8687309892551452,0.08093711353705363,0.8863136234749907,source HD-EEG
130,dataset10_28R,-0.9596419803729178,1.7218894951924815,0.2152296708972657,0.8499157090695552,source HD-EEG
131,dataset10_28L,-1.0507339986783761,1.6895643814174581,0.24464003421339417,0.8056586239584013,source HD-EEG
132,dataset10_29R,-2.186477863334762,1.4212473775376993,0.15579836934120359,0.878387411869928,source HD-EEG
133,dataset10_29L,-2.362857016981987,1.2921729421091936,0.13224951326826873,0.8968590394815491,source HD-EEG
134,dataset10_30R,-3.064100112072999,1.0090190142863051,0.09329217778832943,0.9176532130704848,source HD-EEG
135,dataset10_30L,-3.5529361295169224,0.7851559236938419,0.09375029100028705,0.8358737906836998,source HD-EEG
136,dataset10_31R,-2.5945412668416283,1.0203484442830784,0.05339636425459515,0.9749746619579733,source HD-EEG
137,dataset10_31L,-2.5893180302472287,1.2504940244228222,0.08487906862192968,0.9567946750518672,source HD-EEG
138,dataset10_32R,-2.957278929826382,1.074493776270582,0.07608563542104207,0.9486521764781797,source HD-EEG
139,dataset10_32L,-3.1180934143948305,1.0188228277345583,0.07354781971265408,0.9509420867354322,source HD-EEG
140,dataset10_33R,-2.121723865612509,1.3056020574213938,0.10278847515634021,0.9450648145279265,source HD-EEG
141,dataset10_33L,-2.0689062447053375,1.2016385718003157,0.09194304723072103,0.9417103634050639,source HD-EEG
142,dataset10_34R,-3.328851263942936,1.1705198127168888,0.11440376449800597,0.8952247171280859,source HD-EEG
143,dataset10_34L,-1.8272659651607857,1.6677740753483845,0.22952310263768186,0.8221679230672502,source HD-EEG
144,dataset10_35R,-2.5846229413607036,1.2373417437026772,0.11581190769206265,0.9199034252992087,source HD-EEG
145,dataset10_35L,-2.5267760466752485,1.358200690148816,0.1646929967277305,0.8753317518609062,source HD-EEG
146,dataset10_36R,-2.600385302646177,1.4446268314664976,0.10986635756367158,0.9545878311460158,source HD-EEG
147,dataset10_36L,-1.9745208925073903,1.4725772025618087,0.1074732523323307,0.9493697199114162,source HD-EEG
148,dataset10_37R,-1.5697514379240785,1.5692558253302513,0.10718856226897813,0.9563566994303113,source HD-EEG
149,dataset10_37L,-1.7474093193152582,1.5400851521840389,0.11662869791525442,0.945121241927206,source HD-EEG
150,dataset10_38R,-1.414402400072937,1.4537499548943609,0.09951988905517274,0.9565596615880505,source HD-EEG
151,dataset10_38L,-1.5244331559397386,1.495146287840655,0.11422612923027058,0.9437123461296241,source HD-EEG
152,dataset11_01R,-3.20562509723405,1.065262815530527,0.03337499319138001,0.9923848477404418,source HD-EEG
153,dataset11_01L,-2.4498959163969936,1.0882267223885098,0.06920055959999631,0.9600310865990397,source HD-EEG
154,dataset11_02R,-3.1026532894806045,1.0393422632089855,0.07541317683573448,0.9507112127411088,source HD-EEG
155,dataset11_02L,-2.876677321259009,0.6194052404674892,0.09763263273777906,0.850405012169582,source HD-EEG
156,dataset11_03R,-3.298569692366482,0.9893408248169585,0.030398889866162255,0.9941057662869566,source HD-EEG
157,dataset11_03L,-2.3623846831345343,1.2606525013642145,0.04813124218060054,0.9820600036086592,source HD-EEG
158,dataset11_04R,-2.9004883340258263,1.093700724375916,0.06284150868884947,0.9686957878939432,source HD-EEG
